factura_nota;n_control;fecha_registro;mes;rif_cliente;fecha_auditoria;fecha_registro;cliente;codigo_producto;producto;estandar;unidad_medida; cajas_devueltas ;display_devueltos;paq_und_devueltas;lote;fecha_vencimiento;chofer;transporte;motivo;Tipo_de_devolucion;responsable;zona;asesor;nota_credito;recibida;comentarios;
30221;2029547;13/1/26;1;J-311310819;13/1/26;8/1/26;SUPERMERCADO MERCA SOL, C.A.;PC0351;PAPA CRUNCH ORIGINAL 50U X 35G;50; CAJA ;2; -   ; -   ;LWP0225;5/2/26;LEOMAR BADELL;BADELL;FECHA VENCIMIENTO;FISICO;VENTAS;EDO. CARABOBO;AV - CARABOBO II;DIONERGI GUERRERO;;SI;FEHA VENCIMIENTO
30221;2029547;13/1/26;1;J-311310819;13/1/26;8/1/26;SUPERMERCADO MERCA SOL, C.A.;PC0353;PAPA CRUNCH CREMA Y CEBOLLA 50U X 35G;50; CAJA ;2; -   ; -   ;LWP0225;5/2/26;LEOMAR BADELL;BADELL;FECHA VENCIMIENTO;FISICO;VENTAS;EDO. CARABOBO;AV - CARABOBO II;DIONERGI GUERRERO;;SI;FEHA VENCIMIENTO
30221;2029547;13/1/26;1;J-311310819;13/1/26;8/1/26;SUPERMERCADO MERCA SOL, C.A.;PC0357;PAPA CRUNCH QUESO 50U X 35G;50; CAJA ;1; -   ; -   ;LWP0225;5/2/26;LEOMAR BADELL;BADELL;FECHA VENCIMIENTO;FISICO;VENTAS;EDO. CARABOBO;AV - CARABOBO II;DIONERGI GUERRERO;;SI;FEHA VENCIMIENTO
48441;2029548;13/1/26;1;J-312768320;13/1/26;12/1/26;CATANIA HIPERMERCADO, C.A.;DG0510;STICKS ACIDOS COLORIDOS 12P X 70G;12; PAQ. ; -   ; -   ;2;;;LEOMAR BADELL;BADELL;FALTANTE;FINANCIERO;OTROS;EDO. CARABOBO;AV - CARABOBO III;CESAR MENDEZ;;NO;DG0510: 02 PAQS. FALTANTES 801 VACIO) - SE QUEDA CON LA CAJA / DG0803: 01 PAQ. FALTANTE - SE QUEDA CON LA CAJA / MT1603 - MT1606 - PC0353 - PC0353: FECHA VENCIMIENTO 
48441;2029548;13/1/26;1;J-312768320;13/1/26;12/1/26;CATANIA HIPERMERCADO, C.A.;DG0803;BITES ACIDOS SURTIDOS 24P X 80G;24; PAQ. ; -   ; -   ;1;;;LEOMAR BADELL;BADELL;FALTANTE;FINANCIERO;OTROS;EDO. CARABOBO;AV - CARABOBO III;CESAR MENDEZ;;NO;DG0510: 02 PAQS. FALTANTES 801 VACIO) - SE QUEDA CON LA CAJA / DG0803: 01 PAQ. FALTANTE - SE QUEDA CON LA CAJA / MT1603 - MT1606 - PC0353 - PC0353: FECHA VENCIMIENTO 
48441;2029548;13/1/26;1;J-312768320;13/1/26;12/1/26;CATANIA HIPERMERCADO, C.A.;MT1603;TARTALETA ISABELA FRESA 50P X 140G;50; CAJA ;2; -   ; -   ;LC04925B04;18/2/26;LEOMAR BADELL;BADELL;FECHA VENCIMIENTO;FISICO;VENTAS;EDO. CARABOBO;AV - CARABOBO III;CESAR MENDEZ;;SI;DG0510: 02 PAQS. FALTANTES 801 VACIO) - SE QUEDA CON LA CAJA / DG0803: 01 PAQ. FALTANTE - SE QUEDA CON LA CAJA / MT1603 - MT1606 - PC0353 - PC0353: FECHA VENCIMIENTO 
48441;2029548;13/1/26;1;J-312768320;13/1/26;12/1/26;CATANIA HIPERMERCADO, C.A.;MT1606;TARTALETA ISABELA DUE CHOCO BLANCO  50P X 140G;50; CAJA ;2; -   ; -   ;LC05825B06;27/2/26;LEOMAR BADELL;BADELL;FECHA VENCIMIENTO;FISICO;VENTAS;EDO. CARABOBO;AV - CARABOBO III;CESAR MENDEZ;;SI;DG0510: 02 PAQS. FALTANTES 801 VACIO) - SE QUEDA CON LA CAJA / DG0803: 01 PAQ. FALTANTE - SE QUEDA CON LA CAJA / MT1603 - MT1606 - PC0353 - PC0353: FECHA VENCIMIENTO 
48441;2029548;13/1/26;1;J-312768320;13/1/26;12/1/26;CATANIA HIPERMERCADO, C.A.;PC0351;PAPA CRUNCH ORIGINAL 50U X 35G;50; CAJA ;1; -   ; -   ;LWP0225;5/2/26;LEOMAR BADELL;BADELL;FECHA VENCIMIENTO;FISICO;VENTAS;EDO. CARABOBO;AV - CARABOBO III;CESAR MENDEZ;;SI;DG0510: 02 PAQS. FALTANTES 801 VACIO) - SE QUEDA CON LA CAJA / DG0803: 01 PAQ. FALTANTE - SE QUEDA CON LA CAJA / MT1603 - MT1606 - PC0353 - PC0353: FECHA VENCIMIENTO 
48441;2029548;13/1/26;1;J-312768320;13/1/26;12/1/26;CATANIA HIPERMERCADO, C.A.;PC0353;PAPA CRUNCH CREMA Y CEBOLLA 50U X 35G;50; CAJA ;1; -   ; -   ;LWP0225;5/2/26;LEOMAR BADELL;BADELL;FECHA VENCIMIENTO;FISICO;VENTAS;EDO. CARABOBO;AV - CARABOBO III;CESAR MENDEZ;;SI;DG0510: 02 PAQS. FALTANTES 801 VACIO) - SE QUEDA CON LA CAJA / DG0803: 01 PAQ. FALTANTE - SE QUEDA CON LA CAJA / MT1603 - MT1606 - PC0353 - PC0353: FECHA VENCIMIENTO 
30222;2029549;13/1/26;1;J-411152579;13/1/26;8/1/26;DIPROVEN 2018, C.A;PC0351;PAPA CRUNCH ORIGINAL 50U X 35G;50; CAJA ;1; -   ; -   ;LWP0225;5/2/26;LEOMAR BADELL;BADELL;FECHA VENCIMIENTO;FISICO;VENTAS;EDO. ARAGUA;AV - ARAGUA I;ALEJANDRO VALERA;;SI;DG0510: 02 PAQS. FALTANTES 801 VACIO) - SE QUEDA CON LA CAJA / DG0803: 01 PAQ. FALTANTE - SE QUEDA CON LA CAJA / MT1603 - MT1606 - PC0353 - PC0353: FECHA VENCIMIENTO 
